PARCEL_PIN,SOURCE,ZONING_DISTRICT,FUTURE_LAND_USE,SUBDIVISION_NAME
015733510400,COT,BP,Transit-Oriented Development,HUFFY BUSINESS PARK
0157106000015,COT,POS,Transit-Oriented Development,
0157106000015,COT,POS,Transit-Oriented Development,
0157106000019,COT,SFA,,
0157106000019,COT,SFA,,
0157106000019,COT,SFA,,
0157106000019,COT,SFA,Mixed-Use Neighborhoods,
0157106000019,COT,SFA,Transit-Oriented Development,
0157106000019,COT,SFA,Transit-Oriented Development,
0157106000020,COT,DR,Institutional,
0157106000020,COT,POS,Institutional,
0157106000022,COT,BP,,
0157106000022,COT,BP,Transit-Oriented Development,
0157106000022,COT,BP,Transit-Oriented Development,
0157106000022,COT,POS,,
0157106000022,COT,POS,Mixed-Use Neighborhoods,
0157106000022,COT,POS,"Parks, Trails, and Open Space",
0157106000022,COT,POS,Transit-Oriented Development,
0157106000022,COT,POS,Transit-Oriented Development,
0157106300001,COT,POS,"Parks, Trails, and Open Space",
0157106300002,COT,POS,"Parks, Trails, and Open Space",
0157106300002,COT,POS,"Parks, Trails, and Open Space",
0157106300002,COT,POS,Transit-Oriented Development,
0157106300002,COT,POS,Transit-Oriented Development,
0157106300002,COT,POS,Transit-Oriented Development,
0157108000014,COT,SFD,Single-Family Neighborhoods,WESTWOOD SUBDIVISION
0157108000017,COT,SFD,Single-Family Neighborhoods,WESTWOOD SUBDIVISION
0157108000017,COT,SFD,Single-Family Neighborhoods,WESTWOOD SUBDIVISION
0157108301043,COT,SFD,Single-Family Neighborhoods,WESTWOOD SUBDIVISION
0157108301044,COT,SFD,Single-Family Neighborhoods,WESTWOOD SUBDIVISION
0157108301045,COT,SFD,Single-Family Neighborhoods,WESTWOOD SUBDIVISION
0157108301046,COT,SFD,Single-Family Neighborhoods,WESTWOOD SUBDIVISION
0157108302001,COT,SFD,Single-Family Neighborhoods,WESTWOOD SUBDIVISION
0157108302002,COT,SFD,Single-Family Neighborhoods,WESTWOOD SUBDIVISION
0157108302003,COT,SFD,Single-Family Neighborhoods,WESTWOOD SUBDIVISION
0157108302004,COT,SFD,Single-Family Neighborhoods,WESTWOOD SUBDIVISION
0157108302005,COT,SFD,Single-Family Neighborhoods,WESTWOOD SUBDIVISION
0157108302006,COT,SFD,Single-Family Neighborhoods,WESTWOOD SUBDIVISION
0157108302007,COT,SFD,Single-Family Neighborhoods,WESTWOOD SUBDIVISION
0157108302008,COT,SFD,Single-Family Neighborhoods,WESTWOOD SUBDIVISION
0157108302009,COT,SFD,Single-Family Neighborhoods,WESTWOOD SUBDIVISION
0157108302010,COT,SFD,Single-Family Neighborhoods,WESTWOOD SUBDIVISION
0157108302011,COT,SFD,Single-Family Neighborhoods,WESTWOOD SUBDIVISION
0157108302012,COT,SFD,Single-Family Neighborhoods,WESTWOOD SUBDIVISION
0157108302013,COT,SFD,Single-Family Neighborhoods,WESTWOOD SUBDIVISION
0157108302014,COT,SFD,Single-Family Neighborhoods,WESTWOOD SUBDIVISION
0157108302015,COT,SFD,Single-Family Neighborhoods,WESTWOOD SUBDIVISION
0157108303001,COT,SFD,Single-Family Neighborhoods,WESTWOOD SUBDIVISION
0157108303002,COT,SFD,Single-Family Neighborhoods,WESTWOOD SUBDIVISION
0157108303003,COT,SFD,Single-Family Neighborhoods,WESTWOOD SUBDIVISION
0157108303004,COT,SFD,Single-Family Neighborhoods,WESTWOOD SUBDIVISION
0157108303005,COT,SFD,Single-Family Neighborhoods,WESTWOOD SUBDIVISION
0157108303006,COT,SFD,Single-Family Neighborhoods,WESTWOOD SUBDIVISION
0157108303007,COT,SFD,Single-Family Neighborhoods,WESTWOOD SUBDIVISION
0157108303008,COT,SFD,Single-Family Neighborhoods,WESTWOOD SUBDIVISION
0157108303009,COT,SFD,Single-Family Neighborhoods,WESTWOOD SUBDIVISION
0157108303010,COT,SFD,Single-Family Neighborhoods,WESTWOOD SUBDIVISION
0157108303011,COT,SFD,Single-Family Neighborhoods,WESTWOOD SUBDIVISION
0157108303012,COT,SFD,Single-Family Neighborhoods,WESTWOOD SUBDIVISION
0157108303013,COT,SFD,Single-Family Neighborhoods,WESTWOOD SUBDIVISION
0157108303014,COT,SFD,Single-Family Neighborhoods,WESTWOOD SUBDIVISION
0157108303015,COT,SFD,Single-Family Neighborhoods,WESTWOOD SUBDIVISION
0157108303016,COT,SFD,Single-Family Neighborhoods,WESTWOOD SUBDIVISION
0157108303017,COT,SFD,Single-Family Neighborhoods,WESTWOOD SUBDIVISION
0157108303018,COT,SFD,Single-Family Neighborhoods,WESTWOOD SUBDIVISION
0157108304001,COT,SFD,Single-Family Neighborhoods,WESTWOOD SUBDIVISION
0157108304002,COT,SFD,Single-Family Neighborhoods,WESTWOOD SUBDIVISION
0157108304003,COT,SFD,Single-Family Neighborhoods,WESTWOOD SUBDIVISION
0157108304004,COT,SFD,Single-Family Neighborhoods,WESTWOOD SUBDIVISION
0157108304005,COT,SFD,Single-Family Neighborhoods,WESTWOOD SUBDIVISION
0157108304006,COT,SFD,Single-Family Neighborhoods,WESTWOOD SUBDIVISION
0157108304007,COT,SFD,Single-Family Neighborhoods,WESTWOOD SUBDIVISION
0157108304008,COT,SFD,Single-Family Neighborhoods,WESTWOOD SUBDIVISION
0157108304009,COT,SFD,Single-Family Neighborhoods,WESTWOOD SUBDIVISION
0157108304010,COT,SFD,Single-Family Neighborhoods,WESTWOOD SUBDIVISION
0157108304012,COT,SFD,Single-Family Neighborhoods,WESTWOOD SUBDIVISION
0157108304013,COT,SFD,Single-Family Neighborhoods,WESTWOOD SUBDIVISION
0157108304015,COT,SFD,Single-Family Neighborhoods,WESTWOOD SUBDIVISION
0157108305001,COT,SFD,Single-Family Neighborhoods,WESTWOOD SUBDIVISION
0157108305002,COT,SFD,Single-Family Neighborhoods,WESTWOOD SUBDIVISION
0157108305003,COT,SFD,Single-Family Neighborhoods,WESTWOOD SUBDIVISION
0157108305004,COT,SFD,Single-Family Neighborhoods,WESTWOOD SUBDIVISION
0157108305005,COT,SFD,Single-Family Neighborhoods,WESTWOOD SUBDIVISION
0157108305006,COT,SFD,Single-Family Neighborhoods,WESTWOOD SUBDIVISION
0157108305007,COT,SFD,Single-Family Neighborhoods,WESTWOOD SUBDIVISION
0157108305008,COT,SFD,Single-Family Neighborhoods,WESTWOOD SUBDIVISION
0157108305009,COT,SFD,Single-Family Neighborhoods,WESTWOOD SUBDIVISION
0157108305010,COT,SFD,Single-Family Neighborhoods,WESTWOOD SUBDIVISION
0157108305011,COT,SFD,Single-Family Neighborhoods,WESTWOOD SUBDIVISION
0157108305012,COT,SFD,Single-Family Neighborhoods,WESTWOOD SUBDIVISION
0157108305013,COT,SFD,Single-Family Neighborhoods,WESTWOOD SUBDIVISION
0157108305014,COT,SFD,Single-Family Neighborhoods,WESTWOOD SUBDIVISION
0157108305015,COT,SFD,Single-Family Neighborhoods,WESTWOOD SUBDIVISION
0157108306001,COT,SFD,Single-Family Neighborhoods,WESTWOOD SUBDIVISION
0157108306002,COT,SFD,Single-Family Neighborhoods,WESTWOOD SUBDIVISION
0157108306003,COT,SFD,Single-Family Neighborhoods,WESTWOOD SUBDIVISION
0157108306004,COT,SFD,Single-Family Neighborhoods,WESTWOOD SUBDIVISION
0157108306005,COT,SFD,Single-Family Neighborhoods,WESTWOOD SUBDIVISION
0157108306006,COT,SFD,Single-Family Neighborhoods,WESTWOOD SUBDIVISION
0157108306007,COT,SFD,Single-Family Neighborhoods,WESTWOOD SUBDIVISION
0157108306008,COT,SFD,Single-Family Neighborhoods,WESTWOOD SUBDIVISION
0157108306009,COT,SFD,Single-Family Neighborhoods,WESTWOOD SUBDIVISION
0157108306010,COT,SFD,Single-Family Neighborhoods,WESTWOOD SUBDIVISION
0157108306011,COT,SFD,Single-Family Neighborhoods,WESTWOOD SUBDIVISION
0157108306012,COT,SFD,Single-Family Neighborhoods,WESTWOOD SUBDIVISION
0157108306013,COT,SFD,Single-Family Neighborhoods,WESTWOOD SUBDIVISION
0157108306014,COT,SFD,Single-Family Neighborhoods,WESTWOOD SUBDIVISION
0157108306015,COT,SFD,Single-Family Neighborhoods,WESTWOOD SUBDIVISION
0157108306016,COT,SFD,Single-Family Neighborhoods,WESTWOOD SUBDIVISION
0157108306017,COT,SFD,Single-Family Neighborhoods,WESTWOOD SUBDIVISION
0157108306018,COT,SFD,Single-Family Neighborhoods,WESTWOOD SUBDIVISION
0157108306019,COT,SFD,Single-Family Neighborhoods,WESTWOOD SUBDIVISION
0157108306020,COT,SFD,Single-Family Neighborhoods,WESTWOOD SUBDIVISION
0157108306022,COT,SFD,Single-Family Neighborhoods,WESTWOOD SUBDIVISION
0157108306023,COT,SFD,Single-Family Neighborhoods,WESTWOOD SUBDIVISION
0157108306024,COT,SFD,Single-Family Neighborhoods,WESTWOOD SUBDIVISION
0157108306025,COT,SFD,Single-Family Neighborhoods,WESTWOOD SUBDIVISION
0157108306026,COT,SFD,Single-Family Neighborhoods,WESTWOOD SUBDIVISION
0157108306027,COT,SFD,Single-Family Neighborhoods,WESTWOOD SUBDIVISION
0157108306028,COT,SFD,Single-Family Neighborhoods,WESTWOOD SUBDIVISION
0157108306029,COT,SFD,Single-Family Neighborhoods,WESTWOOD SUBDIVISION
