PARCEL_PIN,SOURCE,ZONING_DISTRICT,FUTURE_LAND_USE,SUBDIVISION_NAME
015733510400,COT,PD,Transit-Oriented Development,HUFFY BUSINESS PARK
999999999574,COT,PD,Mixed Residential Neighborhoods,SUNDANCE AT LAMBERTSON LAKES
0157104000019,ADAMS,PD,Estate Neighborhood,
0157104001001,ADAMS,PD,Estate Neighborhood,
0157104001002,ADAMS,PD,Estate Neighborhood,
0157104402021,ADAMS,PD,Estate Neighborhood,
0157104402022,ADAMS,PD,Estate Neighborhood,
0157104402023,ADAMS,PD,Estate Neighborhood,
0157104402024,ADAMS,PD,Estate Neighborhood,
0157104402025,ADAMS,PD,Estate Neighborhood,
0157104402026,ADAMS,PD,Estate Neighborhood,
0157104402042,ADAMS,PD,Estate Neighborhood,
0157104405006,ADAMS,PD,Estate Neighborhood,
0157106000019,COT,PD,Transit-Oriented Development,
0157106000022,COT,PD,"Parks, Trails, and Open Space",
0157106000022,COT,PD,"Parks, Trails, and Open Space",
0157106000022,COT,PD,Transit-Oriented Development,
0157106000022,COT,PD,Transit-Oriented Development,
0157106002001,ADAMS,PD,Transit-Oriented Development,OESTMAN SUBD
0157106002001,ADAMS,PD,Transit-Oriented Development,OESTMAN SUBD
0157106002002,COT,PD,Transit-Oriented Development,OESTMAN SUBD
0157106300002,COT,PD,,
0157106300002,COT,PD,"Parks, Trails, and Open Space",
0157106300002,COT,PD,"Parks, Trails, and Open Space",
0157106300002,COT,PD,"Parks, Trails, and Open Space",
0157106300002,COT,PD,"Parks, Trails, and Open Space",
0157106300002,COT,PD,"Parks, Trails, and Open Space",
0157106300002,COT,PD,Transit-Oriented Development,
0157108000008,ADAMS,PD,Single-Family Neighborhoods,
0157108401001,COT,PD,Single-Family Neighborhoods,TALON POINTE
0157108401002,COT,PD,Single-Family Neighborhoods,TALON POINTE
0157108401003,COT,PD,Single-Family Neighborhoods,TALON POINTE
0157108401004,COT,PD,Single-Family Neighborhoods,TALON POINTE
0157108401005,COT,PD,Single-Family Neighborhoods,TALON POINTE
0157108401006,COT,PD,Single-Family Neighborhoods,TALON POINTE
0157108401007,COT,PD,Single-Family Neighborhoods,TALON POINTE
0157108401008,COT,PD,Single-Family Neighborhoods,TALON POINTE
0157108401009,COT,PD,Single-Family Neighborhoods,TALON POINTE
0157108401010,COT,PD,Single-Family Neighborhoods,TALON POINTE
0157108401011,COT,PD,Single-Family Neighborhoods,TALON POINTE
0157108401012,COT,PD,Single-Family Neighborhoods,TALON POINTE
0157108401013,COT,PD,Single-Family Neighborhoods,TALON POINTE
0157108401014,COT,PD,Single-Family Neighborhoods,TALON POINTE
0157108401015,COT,PD,Single-Family Neighborhoods,TALON POINTE
0157108402001,COT,PD,Single-Family Neighborhoods,TALON POINTE
0157108402002,COT,PD,Single-Family Neighborhoods,TALON POINTE
0157108402003,COT,PD,Single-Family Neighborhoods,TALON POINTE
0157108402004,COT,PD,Single-Family Neighborhoods,TALON POINTE
0157108402005,COT,PD,Single-Family Neighborhoods,TALON POINTE
0157108402006,COT,PD,Single-Family Neighborhoods,TALON POINTE
0157108402007,COT,PD,Single-Family Neighborhoods,TALON POINTE
0157108402008,COT,PD,Single-Family Neighborhoods,TALON POINTE
0157108402009,COT,PD,Single-Family Neighborhoods,TALON POINTE
0157108402010,COT,PD,Single-Family Neighborhoods,TALON POINTE
0157108402011,COT,PD,Single-Family Neighborhoods,TALON POINTE
0157108402012,COT,PD,Single-Family Neighborhoods,TALON POINTE
0157108402013,COT,PD,Single-Family Neighborhoods,TALON POINTE
0157108402014,COT,PD,Single-Family Neighborhoods,TALON POINTE
0157108402015,COT,PD,Single-Family Neighborhoods,TALON POINTE
0157108402016,COT,PD,Single-Family Neighborhoods,TALON POINTE
0157108402017,COT,PD,Single-Family Neighborhoods,TALON POINTE
0157108402018,COT,PD,Single-Family Neighborhoods,TALON POINTE
0157108402019,COT,PD,Single-Family Neighborhoods,TALON POINTE
0157108402020,COT,PD,Single-Family Neighborhoods,TALON POINTE
0157108402021,COT,PD,Single-Family Neighborhoods,TALON POINTE
0157108402022,COT,PD,Single-Family Neighborhoods,TALON POINTE
0157108403001,COT,PD,Single-Family Neighborhoods,TALON POINTE
0157108403002,COT,PD,Single-Family Neighborhoods,TALON POINTE
0157108403003,COT,PD,Single-Family Neighborhoods,TALON POINTE
0157108403004,COT,PD,Single-Family Neighborhoods,TALON POINTE
0157108403005,COT,PD,Single-Family Neighborhoods,TALON POINTE
0157108403006,COT,PD,Single-Family Neighborhoods,TALON POINTE
0157108403007,COT,PD,Single-Family Neighborhoods,TALON POINTE
0157108403008,COT,PD,Single-Family Neighborhoods,TALON POINTE
0157108403009,COT,PD,Single-Family Neighborhoods,TALON POINTE
0157108403010,COT,PD,Single-Family Neighborhoods,TALON POINTE
0157108403011,COT,PD,Single-Family Neighborhoods,TALON POINTE
0157108403012,COT,PD,Single-Family Neighborhoods,TALON POINTE
0157108403013,COT,PD,Single-Family Neighborhoods,TALON POINTE
0157108403014,COT,PD,Single-Family Neighborhoods,TALON POINTE
0157108403015,COT,PD,Single-Family Neighborhoods,TALON POINTE
0157108403016,COT,PD,Single-Family Neighborhoods,TALON POINTE
0157108403017,COT,PD,Single-Family Neighborhoods,TALON POINTE
0157108403018,COT,PD,Single-Family Neighborhoods,TALON POINTE
0157108403019,COT,PD,Single-Family Neighborhoods,TALON POINTE
0157108403020,COT,PD,Single-Family Neighborhoods,TALON POINTE
0157108403021,COT,PD,Single-Family Neighborhoods,TALON POINTE
0157108403022,COT,PD,Single-Family Neighborhoods,TALON POINTE
0157108403023,COT,PD,Single-Family Neighborhoods,TALON POINTE
0157108403024,COT,PD,Single-Family Neighborhoods,TALON POINTE
0157108403025,COT,PD,Single-Family Neighborhoods,TALON POINTE
0157108403026,COT,PD,Single-Family Neighborhoods,TALON POINTE
0157108403027,COT,PD,Single-Family Neighborhoods,TALON POINTE
0157108403028,COT,PD,Single-Family Neighborhoods,TALON POINTE
0157108403029,COT,PD,Single-Family Neighborhoods,TALON POINTE
0157108403030,COT,PD,Single-Family Neighborhoods,TALON POINTE
0157108403031,COT,PD,Single-Family Neighborhoods,TALON POINTE
0157108403032,COT,PD,Single-Family Neighborhoods,TALON POINTE
0157108403033,COT,PD,Single-Family Neighborhoods,TALON POINTE
0157108403034,COT,PD,Single-Family Neighborhoods,TALON POINTE
0157108403035,COT,PD,Single-Family Neighborhoods,TALON POINTE
0157108403036,COT,PD,Single-Family Neighborhoods,TALON POINTE
0157108403037,COT,PD,Single-Family Neighborhoods,TALON POINTE
0157108403038,COT,PD,Single-Family Neighborhoods,TALON POINTE
0157108403039,COT,PD,Single-Family Neighborhoods,TALON POINTE
0157108403040,COT,PD,Single-Family Neighborhoods,TALON POINTE
0157108403041,COT,PD,Single-Family Neighborhoods,TALON POINTE
0157108403042,COT,PD,Single-Family Neighborhoods,TALON POINTE
0157108403043,COT,PD,Single-Family Neighborhoods,TALON POINTE
0157108403044,COT,PD,Single-Family Neighborhoods,TALON POINTE
0157108403045,COT,PD,Single-Family Neighborhoods,TALON POINTE
0157108403046,COT,PD,Single-Family Neighborhoods,TALON POINTE
0157108403047,COT,PD,Single-Family Neighborhoods,TALON POINTE
0157108403048,COT,PD,Single-Family Neighborhoods,TALON POINTE
0157108403049,COT,PD,Single-Family Neighborhoods,TALON POINTE
0157108403050,COT,PD,Single-Family Neighborhoods,TALON POINTE
0157108403051,COT,PD,Single-Family Neighborhoods,TALON POINTE
0157108403052,COT,PD,Single-Family Neighborhoods,TALON POINTE
0157108403053,COT,PD,Single-Family Neighborhoods,TALON POINTE
0157108403054,COT,PD,Single-Family Neighborhoods,TALON POINTE
0157108403055,COT,PD,Single-Family Neighborhoods,TALON POINTE
0157108403056,COT,PD,Single-Family Neighborhoods,TALON POINTE
0157108403057,COT,PD,Single-Family Neighborhoods,TALON POINTE
0157108403058,COT,PD,Single-Family Neighborhoods,TALON POINTE
0157108403059,COT,PD,Single-Family Neighborhoods,TALON POINTE
0157108403060,COT,PD,Single-Family Neighborhoods,TALON POINTE
