PARCEL_PIN,SOURCE,ZONING_DISTRICT,FUTURE_LAND_USE,SUBDIVISION_NAME
015733510400,COT,BP,Transit-Oriented Development,HUFFY BUSINESS PARK
0157106000015,COT,POS,Transit-Oriented Development,
0157106000015,COT,POS,Transit-Oriented Development,
0157106000019,COT,SFA,Transit-Oriented Development,
0157106000019,COT,SFA,Transit-Oriented Development,
0157106000020,COT,DR,Institutional,
0157106000020,COT,POS,Institutional,
0157106000022,COT,BP,Transit-Oriented Development,
0157106000022,COT,BP,Transit-Oriented Development,
0157106000022,COT,POS,Mixed-Use Neighborhoods,
0157106000022,COT,POS,Transit-Oriented Development,
0157106000022,COT,POS,Transit-Oriented Development,
0157106300002,COT,POS,Transit-Oriented Development,
0157106300002,COT,POS,Transit-Oriented Development,
0157106300002,COT,POS,Transit-Oriented Development,
0157108308054,COT,POS,Single-Family Neighborhoods,WESTWOOD SUBDIVISION
0157108308055,COT,POS,Single-Family Neighborhoods,WESTWOOD SUBDIVISION
0157108308056,COT,POS,Single-Family Neighborhoods,WESTWOOD SUBDIVISION
0157108403012,COT,POS,Single-Family Neighborhoods,TALON POINTE
0157108403013,COT,POS,Single-Family Neighborhoods,TALON POINTE
0157108403014,COT,POS,Single-Family Neighborhoods,TALON POINTE
0157108403015,COT,POS,Single-Family Neighborhoods,TALON POINTE
0157108403016,COT,POS,Single-Family Neighborhoods,TALON POINTE
0157108403017,COT,POS,Single-Family Neighborhoods,TALON POINTE
0157108403018,COT,POS,Single-Family Neighborhoods,TALON POINTE
0157108403019,COT,POS,Single-Family Neighborhoods,TALON POINTE
0157108412011,COT,POS,Single-Family Neighborhoods,TALON POINTE
0157108412022,COT,POS,Single-Family Neighborhoods,TALON POINTE
0157108412060,COT,POS,Single-Family Neighborhoods,TALON POINTE
0157109117218,COT,RE,"Parks, Trails, and Open Space",HERITAGE TODD CREEK F1A8
0157109117219,COT,RE,Single-Family Neighborhoods,HERITAGE TODD CREEK F1A8
0157109117219,COT,RE,Single-Family Neighborhoods,LAKEVIEW ESTATES FILING 1
0157109117219,COT,RE,Single-Family Neighborhoods,LAKEVIEW ESTATES FILING 1
0157109117219,COT,RE,Single-Family Neighborhoods,LAKEVIEW ESTATES FILING 1
0157109117219,COT,RE,Single-Family Neighborhoods,LAKEVIEW ESTATES FILING 2
0157109202004,COT,CR,Single-Family Neighborhoods,TALON VIEW
0157109202018,COT,POS,Single-Family Neighborhoods,TALON VIEW
0157109202019,COT,POS,Single-Family Neighborhoods,TALON VIEW
0157109202020,COT,POS,Single-Family Neighborhoods,TALON VIEW
0157109202021,COT,POS,Single-Family Neighborhoods,TALON VIEW
0157109202022,COT,POS,Single-Family Neighborhoods,TALON VIEW
0157109202023,COT,POS,Single-Family Neighborhoods,TALON VIEW
0157109202024,COT,POS,Single-Family Neighborhoods,TALON VIEW
0157109202033,COT,RE,"Parks, Trails, and Open Space",TALON VIEW SUBDIVISION AMD 1
0157109202038,COT,CR,Single-Family Neighborhoods,TALON VIEW SUBDIVISION AMD 1
0157109202038,COT,POS,Single-Family Neighborhoods,TALON VIEW SUBDIVISION AMD 1
0157109202038,COT,RE,Single-Family Neighborhoods,TALON VIEW SUBDIVISION AMD 1
0157109213001,COT,CR,Single-Family Neighborhoods,TALON VIEW
0157109312084,COT,RE,"Parks, Trails, and Open Space",HERITAGE TODD CREEK F1A3
0157109312086,COT,RE,Single-Family Neighborhoods,HERITAGE TODD CREEK F1A3
0157109312086,COT,RE,Single-Family Neighborhoods,TALON VIEW SUBDIVISION AMD 1
0157109312153,COT,RE,"Parks, Trails, and Open Space",HERITAGE TODD CREEK F1A10
0157109322044,COT,RE,"Parks, Trails, and Open Space",
0157109322044,COT,RE,"Parks, Trails, and Open Space",TALON VIEW SUBDIVISION AMD 1
0157109419052,COT,RE,"Parks, Trails, and Open Space",HERITAGE TODD CREEK F1A8
0157116301001,COT,CR,Mixed Residential Neighborhoods,PARTERRE ANNEXATION
0157116301001,COT,CR,Regional Mixed-Use,
0157116301001,COT,CR,Regional Mixed-Use,PARTERRE ANNEXATION
0157116301002,COT,CR,Mixed Residential Neighborhoods,
0157116301002,COT,CR,Mixed Residential Neighborhoods,PARTERRE ANNEXATION
0157116302001,COT,CR,Regional Mixed-Use,
0157116302001,COT,CR,Regional Mixed-Use,PARTERRE ANNEXATION
0157116302003,COT,CR,Mixed Residential Neighborhoods,
0157116302003,COT,CR,Mixed Residential Neighborhoods,PARTERRE ANNEXATION
0157117102001,COT,CR,Mixed Residential Neighborhoods,PARTERRE ANNEXATION
0157117201001,COT,CR,Single-Family Neighborhoods,PARTERRE ANNEXATION
0157117201002,COT,CR,Mixed Residential Neighborhoods,PARTERRE ANNEXATION
0157117201002,COT,CR,Single-Family Neighborhoods,PARTERRE ANNEXATION
0157117301001,COT,CR,Mixed Residential Neighborhoods,
0157117401001,COT,CR,Regional Mixed-Use,PARTERRE ANNEXATION
0157118100001,COT,CR,Mixed Residential Neighborhoods,
0157118100001,COT,MF,Single-Family Neighborhoods,
0157118101011,COT,POS,Single-Family Neighborhoods,WILLOW BEND SUBDIVISION
0157118101012,COT,SFD,"Parks, Trails, and Open Space",WILLOW BEND SUBDIVISION
0157118109001,COT,MF,Single-Family Neighborhoods,
0157118109002,COT,MF,Single-Family Neighborhoods,WILLOW BEND SUBDIVISION
0157118109003,COT,MF,Single-Family Neighborhoods,WILLOW BEND SUBDIVISION
0157118200003,COT,SFD,"Parks, Trails, and Open Space",
0157118401066,COT,POS,Single-Family Neighborhoods,WILLOW BEND SUBDIVISION
0157118409028,COT,SFD,"Parks, Trails, and Open Space",WILLOW BEND SUBDIVISION
0157118421015,COT,SFD,"Parks, Trails, and Open Space",WILLOW BEND SUBDIVISION
0157119001001,COT,POS,Single-Family Neighborhoods,HOLLY HILLS SUB FLG NO 1
0157119001001,COT,POS,Single-Family Neighborhoods,NORTHBROOK SUB FILING 1
0157119001002,COT,POS,Single-Family Neighborhoods,HOLLY HILLS SUB FLG NO 1
0157119117036,COT,POS,Single-Family Neighborhoods,LEWIS POINTE A1
0157119412016,COT,SFD,"Parks, Trails, and Open Space",NORTHBROOK SUB FILING 1
0157120101006,COT,POS,Single-Family Neighborhoods,
0157120101006,COT,POS,Single-Family Neighborhoods,PARTERRE ANNEXATION
0157120301014,COT,SFD,"Parks, Trails, and Open Space",SPRINGVALE FILING 2
0157120305026,COT,SFA,"Parks, Trails, and Open Space",SPRINGVALE FILING 1
0157120305026,COT,SFD,"Parks, Trails, and Open Space",SPRINGVALE FILING 1
0157120306008,COT,CR,"Parks, Trails, and Open Space",
0157120306008,COT,CR,"Parks, Trails, and Open Space",SPRINGVALE FILING 1
0157120306008,COT,CR,"Parks, Trails, and Open Space",SPRINGVALE FILING 1
0157120306008,COT,CR,"Parks, Trails, and Open Space",SPRINGVALE FILING 1
0157120306017,COT,SFD,"Parks, Trails, and Open Space",SPRINGVALE FILING 3
0157120306063,COT,POS,Commercial,SPRINGVALE SUB F1A1
0157120306065,COT,POS,Commercial,SPRINGVALE SUB F1A2
0157120306065,COT,POS,Commercial,SPRINGVALE SUB F1A2
0157120322023,COT,SFA,"Parks, Trails, and Open Space",SPRINGVALE FILING 6
0157121400004,COT,SFA,"Parks, Trails, and Open Space",
0157128108044,COT,SFD,"Parks, Trails, and Open Space",TIMBERLEAF FILING NO 1 AMD 1
0157128108045,COT,SFD,"Parks, Trails, and Open Space",TIMBERLEAF FILING NO 1 AMD 1
0157128108046,COT,SFD,"Parks, Trails, and Open Space",TIMBERLEAF FILING NO 1 AMD 1
0157128116022,COT,POS,Mixed Residential Neighborhoods,TIMBERLEAF FILING 1
0157128116034,COT,POS,Single-Family Neighborhoods,TIMBERLEAF FILING NO 1 AMD 1
0157128116041,COT,POS,Single-Family Neighborhoods,TIMBERLEAF FILING NO 1 AMD 1
0157128116042,COT,POS,Single-Family Neighborhoods,TIMBERLEAF FILING NO 1 AMD 1
0157128116043,COT,POS,Single-Family Neighborhoods,TIMBERLEAF FILING NO 1 AMD 1
0157128116043,COT,POS,Single-Family Neighborhoods,TIMBERLEAF FILING NO 1 AMD 1
0157128116044,COT,POS,Single-Family Neighborhoods,TIMBERLEAF FILING NO 1 AMD 1
0157128116046,COT,POS,Single-Family Neighborhoods,TIMBERLEAF FILING NO 1 AMD 1
0157128116047,COT,POS,Single-Family Neighborhoods,TIMBERLEAF FILING NO 1 AMD 1
0157128116048,COT,POS,Single-Family Neighborhoods,TIMBERLEAF FILING NO 1 AMD 1
0157128116061,COT,SFD,"Parks, Trails, and Open Space",
0157128116061,COT,SFD,"Parks, Trails, and Open Space",TIMBERLEAF FILING NO 1 AMD 1
0157128116062,COT,SFD,"Parks, Trails, and Open Space",
0157128116062,COT,SFD,"Parks, Trails, and Open Space",TIMBERLEAF FILING NO 1 AMD 1
0157128116063,COT,SFD,"Parks, Trails, and Open Space",TIMBERLEAF FILING NO 1 AMD 1
0157128116064,COT,SFD,"Parks, Trails, and Open Space",TIMBERLEAF FILING NO 1 AMD 1
0157128116065,COT,SFD,"Parks, Trails, and Open Space",
0157128116065,COT,SFD,"Parks, Trails, and Open Space",TIMBERLEAF FILING NO 1 AMD 1
0157128116066,COT,SFD,"Parks, Trails, and Open Space",TIMBERLEAF FILING NO 1 AMD 1
